Circuit,D:SP,F:Depth,F:Width,F:2QGC
"[Gypi:2Gypi2:3][Gypi2:2Gxpi:3][Gxmpi2:2Gypi2:3][Gxpi:2Gxpi2:3][Gxmpi2:2Gxmpi2:3][Gxpi:2Gxpi:3][Gypi:2Gypi2:3]Gcnot:2:3[Gxpi:2Gxmpi2:3][Gypi2:2Gxmpi2:3][Gxmpi2:2Gxpi2:3][Gzpi:2Gzpi:3][Gypi2:2Gympi2:3][Gypi:2Gypi2:3]Gcnot:3:2[Gypi:2Gypi:3][Gxpi:2Gxpi2:3][Gxpi2:2Gypi:3][Gypi2:2Gxmpi2:3][Gypi2:2Gxmpi2:3][Gxpi:2Gypi:3][Gxpi:2Gxpi:3]Gcnot:2:3[Gxpi2:2Gympi2:3][Gxpi2:2Gympi2:3][Gympi2:2Gypi2:3][Gypi2:2Gypi:3][Gxpi:2Gypi:3]Gcnot:2:3@(0,1,2,3)",0.9889400123641695,29,4,4
"Gympi2:1Gypi:1Gypi:1Gympi2:1Gxmpi2:1Gympi2:1Gxmpi2:1Gxpi:1Gxmpi2:1Gzpi:1Gxmpi2:1Gxmpi2:1Gympi2:1Gzpi:1Gxpi:1Gympi2:1Gxmpi2:1Gypi2:1Gxpi2:1Gxpi2:1Gypi:1Gypi:1Gympi2:1Gxpi:1Gzpi:1Gzpi:1Gxpi2:1Gxpi2:1Gxmpi2:1Gypi:1Gzpi:1Gxpi:1Gypi2:1Gypi2:1Gypi2:1Gypi2:1Gxmpi2:1Gypi:1Gxmpi2:1Gxpi2:1Gxpi2:1Gxmpi2:1Gxpi:1Gxpi2:1Gxpi2:1Gxpi2:1Gympi2:1Gympi2:1Gxmpi2:1Gypi2:1Gxpi:1Gypi2:1Gypi2:1Gympi2:1Gxmpi2:1Gypi:1Gypi:1Gypi:1Gxpi:1Gympi2:1Gxpi2:1Gxmpi2:1Gypi:1Gxpi:1Gxmpi2:1Gzpi:1Gypi2:1Gzpi:1Gypi:1Gypi2:1Gxpi:1Gxmpi2:1Gxpi:1Gypi2:1Gypi:1Gympi2:1Gypi:1Gympi2:1Gypi:1Gxpi2:1Gypi2:1Gympi2:1Gzpi:1Gympi2:1Gympi2:1Gzpi:1Gxmpi2:1Gypi2:1Gxmpi2:1Gzpi:1Gypi:1Gxpi:1Gympi2:1Gxpi2:1Gympi2:1Gypi2:1Gypi2:1Gxmpi2:1Gympi2:1Gypi:1Gzpi:1Gypi:1Gzpi:1Gxpi:1Gympi2:1Gympi2:1Gypi2:1Gypi2:1Gxpi2:1Gxmpi2:1Gxpi2:1Gympi2:1Gypi2:1Gzpi:1Gxpi:1Gypi2:1Gxpi:1Gxpi:1Gxpi:1Gxmpi2:1Gypi2:1Gxpi:1Gzpi:1Gxmpi2:1Gxpi2:1Gxpi2:1Gypi:1Gypi:1Gxpi:1Gypi2:1Gypi2:1Gypi2:1Gypi2:1@(0,1,2,3)",0.9989980879022191,133,4,0
"[Gxpi:0Gxmpi2:3][Gxmpi2:0Gzpi:3][Gxmpi2:0Gzpi:3][Gzpi:0Gxpi:3][Gxpi2:0Gypi2:3]Gcnot:0:3[Gxmpi2:0Gxpi2:3][Gxmpi2:0Gympi2:3][Gympi2:0Gzpi:3]Gcnot:3:0@(0,1,2,3)",0.9972628185092955,10,4,2
"[Gxmpi2:0Gympi2:2Gxpi:3][Gypi2:0Gxpi:2Gympi2:3][Gcnot:0:3Gxpi:2][Gypi2:0Gxpi2:2Gxpi2:3][Gcnot:3:2Gympi2:0][Gcnot:0:3Gxpi2:2][Gcnot:3:2Gxpi2:0][Gcnot:0:3Gympi2:2][Gxmpi2:0Gympi2:2Gxpi2:3][Gcnot:3:0Gypi2:2][Gzpi:0Gypi:2Gypi2:3][Gcnot:3:0Gypi:2]@(0,1,2,3)",0.9931512540414679,12,4,7
"[Gcnot:0:1Gcnot:3:2][Gypi:0Gxpi2:1Gzpi:2Gxmpi2:3][Gzpi:0Gxmpi2:1Gxpi2:2Gzpi:3][Gcnot:0:3Gxpi2:1Gxpi:2][Gcnot:0:3Gxpi:1Gypi:2][Gxmpi2:0Gympi2:1Gympi2:2Gxmpi2:3][Gcnot:2:1Gcnot:3:0]@(0,1,2,3)",0.9929338509522172,7,4,6
"[Gxpi:0Gxmpi2:2Gzpi:3][Gcnot:0:3Gypi:2][Gcnot:3:0Gxmpi2:2][Gcnot:2:3Gypi2:0][Gcnot:0:3Gxpi2:2][Gcnot:3:2Gypi:0][Gcnot:2:3Gxmpi2:0][Gympi2:0Gypi2:2Gypi2:3][Gympi2:0Gzpi:2Gympi2:3]@(0,1,2,3)",0.9921093213149575,9,4,6
"[Gcnot:3:0Gzpi:1Gxpi:2][Gxpi2:0Gxpi2:1Gypi:2Gypi2:3][Gcnot:2:1Gypi2:0Gzpi:3][Gcnot:1:0Gympi2:2Gympi2:3][Gcnot:0:3Gypi2:1Gzpi:2][Gcnot:0:3Gxpi2:1Gypi:2][Gcnot:1:2Gypi2:0Gympi2:3][Gcnot:0:1Gzpi:2Gxpi2:3][Gcnot:1:0Gcnot:3:2][Gcnot:3:0Gympi2:1Gympi2:2][Gcnot:1:2Gxpi2:0Gxpi2:3][Gxmpi2:0Gympi2:1Gypi2:2Gxpi:3][Gcnot:0:1Gcnot:3:2][Gcnot:2:1Gypi:0Gxmpi2:3][Gcnot:0:3Gxpi:1Gypi:2]@(0,1,2,3)",0.9875774374498764,15,4,15
"[Gcnot:0:3Gcnot:2:1][Gcnot:3:2Gzpi:0Gypi:1]@(0,1,2,3)",0.998577325884521,2,4,3
"[Gxmpi2:0Gypi:3]Gcnot:3:0[Gxpi:0Gympi2:3]Gcnot:0:3[Gypi2:0Gypi:3]Gcnot:0:3Gcnot:0:3Gcnot:3:0[Gxmpi2:0Gxmpi2:3][Gxpi2:0Gypi2:3]Gcnot:3:0Gcnot:3:0[Gxmpi2:0Gypi2:3][Gzpi:0Gympi2:3]Gcnot:0:3[Gypi2:0Gxpi:3][Gxpi:0Gypi2:3][Gxpi:0Gympi2:3]Gcnot:0:3[Gzpi:0Gzpi:3]Gcnot:3:0[Gypi2:0Gzpi:3]Gcnot:0:3[Gxpi2:0Gypi2:3][Gzpi:0Gxmpi2:3]Gcnot:3:0Gcnot:3:0[Gxpi:0Gxpi:3]Gcnot:0:3[Gxpi:0Gypi2:3]Gcnot:0:3[Gxpi2:0Gypi:3][Gxpi:0Gxmpi2:3]Gcnot:0:3[Gzpi:0Gxpi:3][Gypi:0Gxpi2:3]Gcnot:3:0@(0,1,2,3)",0.9736720166527152,37,4,17
"[Gypi:1Gxmpi2:2]Gcnot:2:1[Gxpi2:1Gypi2:2]Gcnot:2:1[Gxpi2:1Gxpi:2][Gxpi:1Gympi2:2]Gcnot:1:2Gcnot:1:2[Gxpi2:1Gzpi:2][Gxpi2:1Gxmpi2:2][Gxmpi2:1Gympi2:2]Gcnot:2:1[Gxpi2:1Gxpi2:2][Gypi2:1Gxpi:2][Gympi2:1Gypi2:2]Gcnot:1:2Gcnot:2:1Gcnot:2:1[Gypi2:1Gypi2:2][Gypi2:1Gympi2:2][Gxpi2:1Gympi2:2][Gzpi:1Gympi2:2]Gcnot:1:2Gcnot:2:1Gcnot:2:1[Gympi2:1Gxpi2:2][Gxpi2:1Gxmpi2:2]Gcnot:1:2Gcnot:2:1@(0,1,2,3)",0.9713996527574976,29,4,13
