,width,size,polarization,pol_std_dev,pol_95%_ci_lower,pol_95%_ci_upper,quops_rate,quops_rate_std_dev,raw_quops_rate,raw_quops_rate_std_dev
0,4,6872,0.6066380804836206,0,0.6066380804836206,1.0,,,,
1,5,6870,0.6067096375450565,0,0.6067096375450565,1.0,,,,
2,6,6864,0.6069243427943068,0,0.6069243427943068,1.0,,,,
3,7,6874,0.6065665290993275,0,0.6065665290993275,1.0,,,,
4,8,6864,0.6069243427943068,0,0.6069243427943068,1.0,,,,
5,9,6858,0.6071390991378046,0,0.6071390991378046,1.0,,,,
6,10,6860,0.607067508013004,0,0.607067508013004,1.0,,,,
7,11,6864,0.6069243427943068,0,0.6069243427943068,1.0,,,,
8,12,6864,0.6069243427943068,0,0.6069243427943068,1.0,,,,
9,13,6864,0.6069243427943068,0,0.6069243427943068,1.0,,,,
10,14,6860,0.607067508013004,0,0.607067508013004,1.0,,,,
11,15,6870,0.6067096375450565,0,0.6067096375450565,1.0,,,,
12,16,6848,0.6074971399128252,0,0.6074971399128252,1.0,,,,
13,17,6868,0.6067812002841686,0,0.6067812002841686,1.0,,,,
14,18,6840,0.6077836747076703,0,0.6077836747076703,1.0,,,,
15,19,6840,0.6077836747076703,0,0.6077836747076703,1.0,,,,
16,20,6840,0.6077836747076703,0,0.6077836747076703,1.0,,,,
17,21,6846,0.6075687650973114,0,0.6075687650973114,1.0,,,,
18,22,6864,0.6069243427943068,0,0.6069243427943068,1.0,,,,
19,23,6854,0.6072822984178821,0,0.6072822984178821,1.0,,,,
20,24,6864,0.6069243427943068,0,0.6069243427943068,1.0,,,,
21,25,6850,0.6074255204048076,0,0.6074255204048076,1.0,,,,
22,26,6864,0.6069243427943068,0,0.6069243427943068,1.0,,,,
23,27,6858,0.6071390991378046,0,0.6071390991378046,1.0,,,,
24,28,6832,0.6080703003172998,0,0.6080703003172998,1.0,,,,
25,29,6844,0.607640395958032,0,0.607640395958032,1.0,,,,
26,30,6840,0.6077836747076703,0,0.6077836747076703,1.0,,,,
27,31,6820,0.6085004089956048,0,0.6085004089956048,1.0,,,,
28,32,6848,0.6074971399128252,0,0.6074971399128252,1.0,,,,
29,33,6864,0.6069243427943068,0,0.6069243427943068,1.0,,,,
30,34,6868,0.6067812002841686,0,0.6067812002841686,1.0,,,,
31,35,6860,0.607067508013004,0,0.607067508013004,1.0,,,,
32,36,6840,0.6077836747076703,0,0.6077836747076703,1.0,,,,
33,37,6808,0.6089307219703662,0,0.6089307219703662,1.0,,,,
34,38,6840,0.6077836747076703,0,0.6077836747076703,1.0,,,,
35,39,6864,0.6069243427943068,0,0.6069243427943068,1.0,,,,
36,40,6800,0.6092177107732352,0,0.6092177107732352,1.0,,,,
37,41,6806,0.6090024606597233,0,0.6090024606597233,1.0,,,,
38,42,6804,0.6086863590606428,0,0.6086863590606428,1.0,,,,
39,43,6794,0.6068239312289987,0,0.6068239312289987,1.0,,,,
40,44,6688,0.6084663337011033,0,0.6084663337011033,1.0,,,,
41,45,6660,0.6072941389277123,0,0.6072941389277123,1.0,,,,
42,46,6532,0.6098539836185674,0,0.6098539836185674,1.0,,,,
43,47,6486,0.609409173046483,0,0.609409173046483,1.0,,,,
44,48,6432,0.609289876153308,0,0.609289876153308,1.0,,,,
45,49,6370,0.6095041809062878,0,0.6095041809062878,1.0,,,,
46,50,6300,0.6100606126732544,0,0.6100606126732544,1.0,,,,
47,51,6324,0.6069967659349141,0,0.6069967659349141,1.0,,,,
48,52,6240,0.6081461520366235,0,0.6081461520366235,1.0,,,,
49,53,6148,0.6096626741076814,0,0.6096626741076814,1.0,,,,
50,54,6156,0.607238754916865,0,0.607238754916865,1.0,,,,
51,55,6050,0.6093925738720176,0,0.6093925738720176,1.0,,,,
52,56,6048,0.6073856709457045,0,0.6073856709457045,1.0,,,,
53,57,5928,0.6102078323827188,0,0.6102078323827188,1.0,,,,
54,58,5916,0.6086386075765926,0,0.6086386075765926,1.0,,,,
55,59,5900,0.6072381561468844,0,0.6072381561468844,1.0,,,,
56,60,5760,0.6110543563509352,0,0.6110543563509352,1.0,,,,
57,61,5734,0.6101235075881518,0,0.6101235075881518,1.0,,,,
58,62,5704,0.6093744522656003,0,0.6093744522656003,1.0,,,,
59,63,5670,0.608811086068834,0,0.608811086068834,1.0,,,,
60,64,5632,0.6084374429450202,0,0.6084374429450202,1.0,,,,
61,65,5590,0.6082577045114941,0,0.6082577045114941,1.0,,,,
62,66,5544,0.608276209765462,0,0.608276209765462,1.0,,,,
63,67,5494,0.6084974651018126,0,0.6084974651018126,1.0,,,,
64,68,5440,0.6089261546461375,0,0.6089261546461375,1.0,,,,
65,69,5382,0.6095671508994188,0,0.6095671508994188,1.0,,,,
66,70,5320,0.6104255256981854,0,0.6104255256981854,1.0,,,,
67,71,5254,0.6115065614798945,0,0.6115065614798945,1.0,,,,
